Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2019,12,2,3,"Задача об ""Очень быстрой собаке""",Улыбнись,Лев Емельянов,Алексей Вайнер,,Что случилось с одной очень быстрой собакой?,да,физика,,
2019,12,5,1,Все хотят зачёт,Задачи в картинках,Денис Афризонов,Елена Цветаева,,Как студентам получить зачёт у вредного преподавателя?,да,логика,,
2019,12,6,6,"Генри Кавендиш: тот, кто взвесил Землю",Великие умы,Марина Молчанова,,,"Генри Кавендиш: тот, кто взвесил Землю",,химия,,
2019,12,12,4,Магическая математика,Математический кружок,Михаил Евдокимов,Мария Усеинова,,"Три задачи, в которых помогает магический квадрат",,арифметика,,
2019,12,16,2,Воры на словах,Чудеса лингвистики,Ольга Кузнецова,Ольга Демидова,,"История слов, связанных с захватом чужого",,,,
2019,12,18,4,Квадраты на клетчатой бумаге,Математический кружок,Егор Бакаев,Алексей Вайнер,,Рисуем квадраты на клетчатой бумаге,,планиметрия,,
2019,12,22,1,Три шахматные головомки,Улыбнись,Сергей Федин,Евгений Паненко,,Парадоксальные шахматные головоломки,,игры,,
2019,12,23,2,Корзина грибов,Игры и головоломки,Владимир Красноухов,Мария Усеинова,,Головоломка: укладываем грибы в гексагональную корзину.,да,комбигеом,,
2019,12,25,3,XIV Южный математический турнир. Избранные задачи,Олимпиады,"Материал подготовили: Дауд Мамий и составители лиги ""Старт"" Сергей Волчёнков, Заур Дахтужев, Олег Дмитриев, Сергей Дориченко, Дмитрий Кузнецов, Аркадий Скоркин",Сергей Чуб,,Избранные задачи XIV Южного математического турнира,,,,
2019,12,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2019,12,32,2,Наш конкурс,Олимпиады,"16: Александр Хачатурян, Татьяна Козицына ; 17: Михаил Евдокимов ; 20: Владимир Расторгуев",Николай Крутиков,,,да,,,
